FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1670	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	8394.534927	8399.754977	4	4574.47	4713.73	139.26	4640.82	1.94857e+07	6.38273e+06	8	14	6	0.969404	0.682866
1671	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	55352.031039	55386.655232	2	4858.56	4878.08	19.5233	4878.08	8.32397e+06	6.36646e+06	43	98	31	0.905601	0.611718
1672	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	26196.012715	26212.394288	2	5600.44	5632.09	31.6454	5632.09	1.09752e+07	6.32557e+06	25	43	14	0.857799	0.830445
1673	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7607.993368	7612.752114	4	4684.16	4828.74	144.572	4737.86	2.14632e+07	6.31972e+06	6	12	6	0.953372	0.688303
1674	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	37600.936880	37624.451325	2	5550.36	5567.95	17.596	5567.95	1.02299e+07	6.31788e+06	26	65	19	0.843223	0.698201
1675	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	54707.969864	54742.228544	4	5100.53	5159.45	58.9218	5141.91	2.01737e+07	6.31598e+06	40	97	42	0.885991	0.758512
1676	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	13837.317912	13845.943670	2	4982.13	4999.72	17.5955	4999.72	1.19554e+07	6.29426e+06	12	21	9	0.912207	0.905554
1677	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	41507.095231	41533.083361	2	5216.57	5235.96	19.3952	5216.57	1.18892e+07	6.26426e+06	34	80	21	0.828696	0.661665
1678	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	43313.527876	43340.577975	2	5533.62	5564.39	30.7711	5533.62	1.03661e+07	6.25638e+06	38	76	25	0.874118	0.663356
1679	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	26419.034125	26435.545567	2	5563.44	5604.81	41.3707	5563.44	1.13245e+07	6.25033e+06	24	52	22	0.8292	0.833773
1680	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	44379.913718	44407.687449	2	5633.02	5681.37	48.3478	5681.37	9.23245e+06	6.211e+06	41	83	30	0.882353	0.727202
1681	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	58363.703238	58400.216538	2	5141.91	5201.53	59.6206	5141.91	1.19838e+07	6.2068e+06	55	100	31	0.857212	0.61869
1682	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	53982.790174	54016.533353	3	5329.93	5344.85	14.918	5338.71	1.34336e+07	6.2065e+06	39	96	37	0.854882	0.577538
1683	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	67951.096208	67993.628168	2	5176.98	5220.95	43.9784	5176.98	1.17828e+07	6.20023e+06	54	100	27	0.889361	0.658025
1684	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7607.983172	7612.741919	2	5462.79	5473.07	10.2796	5462.79	1.05257e+07	6.1999e+06	5	10	6	0.949777	0.939965
1685	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57197.871194	57233.595132	4	5198.89	5252.74	53.844	5235.96	1.93767e+07	6.19275e+06	47	98	38	0.882701	0.793983
1686	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	24759.059113	24774.510010	2	4684.16	4735.56	51.3998	4684.16	8.40199e+06	6.18851e+06	18	39	15	0.87516	0.701631
1687	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	5378.785432	5382.137495	4	692.465	740.408	47.9439	740.408	1.27392e+07	6.18818e+06	5	10	6	0.9462	0.955871
1688	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	56187.298449	56222.438028	3	4989.15	5029.49	40.3443	4989.15	1.43612e+07	6.1862e+06	53	96	32	0.861215	0.806666
1689	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	53740.869395	53774.471462	2	4886.03	4918.01	31.9779	4918.01	1.1976e+07	6.18125e+06	48	96	32	0.900421	0.776296
1690	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	31126.820123	31146.306325	2	5604.81	5651.51	46.6947	5604.81	1.13846e+07	6.17987e+06	28	62	19	0.915698	0.733893
1691	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	45112.330754	45140.545466	4	5565.33	5624.13	58.796	5597.81	1.87988e+07	6.14732e+06	30	78	32	0.882171	0.701245
1692	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	40894.739520	40920.274455	3	4939	4972.49	33.4838	4939	1.67816e+07	6.18504e+06	31	79	26	0.917317	0.856782
1693	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	54260.335810	54294.236201	2	5624.13	5661.22	37.0938	5661.22	9.78718e+06	6.13585e+06	55	93	29	0.893544	0.597739
1694	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	53326.064657	53359.420588	2	5057.51	5083.86	26.3508	5057.51	1.07806e+07	6.13408e+06	50	94	25	0.865244	0.662792
1695	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	40341.476016	40366.699403	2	5600.44	5617.05	16.6105	5617.05	1.11876e+07	6.12578e+06	40	80	17	0.905055	0.645848
1696	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	39376.542023	39401.172631	3	5094.39	5134.82	40.4352	5094.39	1.48737e+07	6.11243e+06	33	71	27	0.936614	0.831259
1697	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57264.409876	57300.184108	2	5279.11	5332.57	53.4571	5332.57	9.83648e+06	6.09836e+06	53	99	31	0.805064	0.528493
1698	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	38067.963316	38091.737575	2	4885.09	4947.75	62.6665	4885.09	9.92067e+06	6.09544e+06	32	62	20	0.853365	0.690507
1699	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	36748.530886	36771.527889	2	5128.7	5194.51	65.8163	5128.7	1.08073e+07	6.06774e+06	31	56	16	0.929198	0.720319
1700	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	49173.447727	49204.160916	2	4894.18	4968.1	73.9208	4968.1	7.02934e+06	6.01354e+06	42	92	23	0.82866	0.541297
1701	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	49793.706818	49824.871809	2	5235.96	5257.12	21.1609	5257.12	1.18966e+07	6.01174e+06	39	88	28	0.83516	0.551318
1702	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	38168.861235	38192.699479	2	4859.68	4871.09	11.4121	4859.68	1.13352e+07	5.9825e+06	35	73	19	0.863324	0.807954
1703	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	45018.312904	45046.475238	2	5681.37	5709.65	28.2887	5681.37	8.1838e+06	5.96797e+06	36	83	23	0.903538	0.761201
1704	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	46677.306006	46706.531298	2	4847.17	4894.18	47.0081	4847.17	7.12554e+06	5.9664e+06	50	88	25	0.921195	0.538495
1705	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	27938.817463	27956.231165	2	5574.95	5604.81	29.8608	5574.95	1.08235e+07	5.95936e+06	26	47	14	0.884421	0.594873
1706	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	41289.994246	41315.765610	2	4757.93	4791.6	33.6667	4791.6	1.12212e+07	5.95276e+06	38	73	24	0.881426	0.643503
