FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1437	20160406_L_VC_ColF18_Exp17_01.mzML	29141.431888	29159.664916	2	6981.74	7027.03	45.2922	7027.03	4.05361e+07	2.39053e+07	25	47	13	0.872954	0.536008
1438	20160406_L_VC_ColF18_Exp17_01.mzML	46056.224979	46084.996795	2	6633.24	6661.75	28.5082	6633.24	4.45618e+07	2.37716e+07	41	80	17	0.860834	0.730872
1439	20160406_L_VC_ColF18_Exp17_01.mzML	6264.589569	6268.471352	39	997.268	1129.11	131.842	1001.57	1.60866e+08	2.36248e+07	6	11	6	0.991036	0.999841
1440	20160406_L_VC_ColF18_Exp17_01.mzML	7877.855017	7882.773913	3	2006	2024.7	18.697	2013.95	3.58345e+07	2.35943e+07	6	14	9	0.989055	0.952663
1441	20160406_L_VC_ColF18_Exp17_01.mzML	8211.947688	8217.060806	2	2184.71	2203.23	18.5154	2203.23	3.72106e+07	2.35773e+07	7	13	7	0.955241	0.935973
1442	20160406_L_VC_ColF18_Exp17_01.mzML	48811.150688	48841.654897	2	6994.24	7022.61	28.3678	6994.24	4.45971e+07	2.35213e+07	45	85	22	0.800135	0.724238
1443	20160406_L_VC_ColF18_Exp17_01.mzML	10380.647139	10387.136068	74	8177.94	8252.18	74.2442	8182.23	2.64566e+08	2.34041e+07	6	18	13	0.971129	0.973244
1444	20160406_L_VC_ColF18_Exp17_01.mzML	8989.833314	8995.415862	3	1955.92	2018.28	62.3579	1964.96	5.99835e+07	2.32782e+07	8	16	8	0.917062	0.987695
1445	20160406_L_VC_ColF18_Exp17_01.mzML	8827.830569	8833.321504	2	2365.52	2406.55	41.0296	2365.52	4.64119e+07	2.3226e+07	10	16	7	0.954687	0.973053
1446	20160406_L_VC_ColF18_Exp17_01.mzML	5749.593195	5753.163354	2	2577.97	2598.46	20.4852	2598.46	3.1387e+07	2.30699e+07	6	9	4	0.906097	0.979402
1447	20160406_L_VC_ColF18_Exp17_01.mzML	31834.992399	31854.895495	2	7122.68	7158.71	36.0256	7122.68	4.40281e+07	2.30238e+07	21	58	18	0.799894	0.823526
1448	20160406_L_VC_ColF18_Exp17_01.mzML	41459.112107	41485.072606	2	7250.03	7303.91	53.8845	7303.91	4.32256e+07	2.29122e+07	29	72	18	0.786506	0.675316
1449	20160406_L_VC_ColF18_Exp17_01.mzML	33545.244390	33566.247455	2	6844.89	6898.4	53.5093	6844.89	3.36569e+07	2.28231e+07	30	54	18	0.805359	0.792187
1450	20160406_L_VC_ColF18_Exp17_01.mzML	76691.540728	76739.524394	2	7102.37	7150.06	47.6878	7102.37	4.35042e+07	2.27676e+07	59	99	23	0.83205	0.624603
